URL,contains_software_set,Num_sw_records,Error
researchdata.essex.ac.uk/cgi/oai2,No,0.0,No error
rave.repository.guildhe.ac.uk/cgi/oai2,No,0.0,No error
pure.northampton.ac.uk/ws/oai,No,0.0,Bad Argument Error
dspace.lib.cranfield.ac.uk/oai/request,No,0.0,No error
irep.ntu.ac.uk/cgi/oai2,No,11.0,No error
eprints.kingston.ac.uk/cgi/oai2,No,0.0,No error
plymsea.ac.uk/cgi/oai2,No,0.0,No error
orca.cardiff.ac.uk/cgi/oai2,No,0.0,No error
eresearch.qmu.ac.uk/dspace-oai/request,No,0.0,No error
shura.shu.ac.uk/cgi/oai2,No,0.0,No error
eprints.worc.ac.uk/cgi/oai2,No,0.0,No error
wlv.openrepository.com/wlv-oai/request,No,0.0,No error
www.edshare.soton.ac.uk/cgi/oai2,No sets,0.0,BadVerbError
pure.manchester.ac.uk/ws/oai,No,0.0,Bad Argument Error
eprint.ncl.ac.uk/oai/,No sets,0.0,BadVerbError
pure.qub.ac.uk/ws/oai,No sets,0.0,BadVerbError
ore.exeter.ac.uk/oai/request,No,0.0,No error
www.ros.hw.ac.uk/dspace-oai/request,No,0.0,No error
researchspace.bathspa.ac.uk/cgi/oai2,No,0.0,No error
nhm.openrepository.com/nhm-oai/request,No,0.0,No error
researchdata.reading.ac.uk/cgi/oai2,No,0.0,No error
nottingham-repository.worktribe.com/oaiprovider,No,0.0,404 error
pure-oai.bham.ac.uk/ws/oai,No,0.0,Bad Argument Error
cris.brighton.ac.uk/ws/oai,No,0.0,Bad Argument Error
theses.gla.ac.uk/perl/oai2,No sets,0.0,BadVerbError
journals.kent.ac.uk/index.php/index/oai,No,0.0,No error
journals.gold.ac.uk/index/oai,No sets,0.0,BadVerbError
rdmc.nottingham.ac.uk/oai/openaire,No,0.0,No error
journals.northampton.ac.uk/index.php/index/oai,No sets,0.0,URL error
edshare.gcu.ac.uk/cgi/oai2,No sets,0.0,No error
researchonline.rcm.ac.uk/cgi/oai2,No,0.0,BadVerbError
www.open-access.bcu.ac.uk/cgi/oai2,No,0.0,No error
research.gold.ac.uk/cgi/oai2,Yes,0.0,BadVerbError
eprints.ncrm.ac.uk/cgi/oai2,No,0.0,BadVerbError
specialcollections.le.ac.uk/oai/oai.php,No,0.0,BadVerbError
repository.alt.ac.uk/cgi/oai2,No,0.0,BadVerbError
eprints.chi.ac.uk/cgi/oai2,No,,
theses.gla.ac.uk/cgi/oai2,No,0.0,BadVerbError
theses.gla.ac.uk/cgi/oai2,No,0.0,BadVerbError
researchonline.rca.ac.uk/cgi/oai2,No,0.0,BadVerbError
hira.hope.ac.uk/cgi/oai2,No,0.0,BadVerbError
eprints.whiterose.ac.uk/cgi/oai2,No,0.0,BadVerbError
cdm15979.contentdm.oclc.org/oai/oai.php,No,,
eprints.lancs.ac.uk/cgi/oai2,No,0.0,BadVerbError
discovery.ucl.ac.uk/cgi/oai2,No,0.0,BadVerbError
lau.repository.guildhe.ac.uk/cgi/oai2,No,0.0,No error
journals.sfu.ca/vm/index.php/vm/oai,No,0.0,BadVerbError
www.repository.uhblibrary.co.uk/cgi/oai2,No,0.0,URL error
cedadocs.ceda.ac.uk/cgi/oai2,No,,
centaur.reading.ac.uk/cgi/oai2,No,0.0,BadVerbError
napier-repository.worktribe.com,No,,
eprints.ncl.ac.uk/oai,No,,
etheses.whiterose.ac.uk/cgi/oai2,No,0.0,BadVerbError
etheses.whiterose.ac.uk/cgi/oai2,No,0.0,BadVerbError
openaccess.sgul.ac.uk/cgi/oai2,Yes,0.0,BadVerbError
repository.jisc.ac.uk/cgi/oai2,No,,
www.performancephilosophy.org/index/oai,No,,
edshare.soton.ac.uk/cgi/oai2,No,,
journals.gold.ac.uk/index.php/index/oai,No,,
eprints.mdx.ac.uk/cgi/oai2,No,0.0,BadVerbError
datacompass.lshtm.ac.uk/cgi/oai2,No,,
researchdata.gla.ac.uk/cgi/oai2,No,0.0,BadVerbError
eprints.glos.ac.uk/cgi/oai2,Yes,0.0,BadVerbError
pure.hw.ac.uk/ws/oai,No,,
archive.researchdata.leeds.ac.uk/cgi/oai2,No,0.0,BadVerbError
www.northumbriajournals.co.uk/index.php/index/oai,No,0.0,BadVerbError
eprints.leedsbeckett.ac.uk/cgi/oai2,Yes,0.0,BadVerbError
dora.dmu.ac.uk/oai/request,No,,
pureadmin.qub.ac.uk/ws/oai,No,,
ualresearchonline.arts.ac.uk/cgi/oai2,No,0.0,BadVerbError
publications.aston.ac.uk/cgi/oai2,No,0.0,BadVerbError
cdm15847.contentdm.oclc.org/oai/oai.php,No,,
uobrep.openrepository.com/oai/request,No,,
risweb.st-andrews.ac.uk/ws/oai,No,0.0,BadVerbError
eprints.hrwallingford.com/cgi/oai2,No,,
nora.nerc.ac.uk/cgi/oai2,No,0.0,BadVerbError
spiral.imperial.ac.uk/dspace-oai/request,No,0.0,BadVerbError
amber.openrepository.com/oai/request,No,,
oai.ukdataservice.ac.uk:8443/oai/provider,No,,
ecommons.aku.edu/do/oai/,No,,
