Provider’s legal name,Provider’s trading name(s),Provider's website,Pure Add,Search string,Pure Research Outputs,Pure Software Outputs,HOST,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,,,,,
University of Northumbria at Newcastle,Northumbria University,https://www.northumbria.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Durham,Durham University,https://www.durham.ac.uk ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of West London,Not applicable,https://www.uwl.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Portsmouth Higher Education Corporation,"University of Portsmouth
Portsmouth University",https://www.port.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"University of the Arts, London",Not applicable,https://www.arts.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Reading,University of Reading,https://www.reading.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buckinghamshire New University,Not applicable,https://www.bucks.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Royal Agricultural University,Not applicable,https://www.rau.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arts University Bournemouth,The Arts University Bournemouth,https://www.aub.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Hertfordshire Higher Education Corporation,"University of Hertfordshire
UH",https://www.herts.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Bath,University of Bath,https://www.bath.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxford Brookes University,Not applicable,https://www.brookes.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nottingham Trent University,Not applicable,https://www.ntu.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Kent,Not applicable,https://www.kent.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De Montfort University Higher Education Corporation,De Montfort University,https://www.dmu.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University College Birmingham,Not applicable,https://www.ucb.ac.uk ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coventry University,"Coventry University London
CU Coventry
CU London
CU Scarborough",https://www.coventry.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Chester,Not applicable,https://www.chester.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staffordshire University,Not applicable,https://www.staffs.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Bedfordshire,Not applicable,https://www.beds.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newman University,Not applicable,https://www.newman.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Derby,Not applicable,https://www.derby.ac.uk ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Suffolk,Not applicable,https://www.uos.ac.uk ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"University of Northampton, the","The University of Northampton
University of Northampton",https://www.northampton.ac.uk ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roehampton University,University of Roehampton,https://www.roehampton.ac.uk ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPP University Limited,BPP University,https://www.bpp.com ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teesside University,Not applicable,https://www.tees.ac.uk ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Winchester,Not applicable,https://www.winchester.ac.uk ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Westminster,Not applicable,https://www.westminster.ac.uk ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of Greenwich,Not applicable,https://www.gre.ac.uk/ ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
London Metropolitan University,Not applicable,https://www.londonmet.ac.uk ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Bolton,Not applicable,https://www.bolton.ac.uk ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Chichester,University of Chichester,https://www.chi.ac.uk ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Bradford,Not applicable,https://www.brad.ac.uk ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Cumbria,Not applicable,https://www.cumbria.ac.uk ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of East London,"The University of East London
The University of East London Higher Education Corporation",https://www.uel.ac.uk ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University of London,Not applicable,https://www.london.ac.uk ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"St Mary’s University, Twickenham","St Mary’s University, Twickenham, London",https://www.stmarys.ac.uk ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University College of Osteopathy (The),Not applicable,https://www.uco.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University for the Creative Arts,Not applicable,https://www.uca.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Writtle University College,Not applicable,https://writtle.ac.uk ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The University of Law Limited,The University of Law,https://www.law.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arden University Limited,Arden University,https://www.arden.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The London Institute of Banking & Finance,Not applicable,https://www.libf.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Open University,Not applicable,https://www.open.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Richmond, the American International University in London, Inc.","Richmond, The American International University in London",https://www.richmond.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartpury University,Not applicable,https://www.hartpury.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amity Global Education Ltd,Amity University [IN] London,https://www.amity.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeastern University – London,"Northeastern University London
New College of the Humanities",https://www.nchlondon.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University Centre Peterborough,Not applicable,https://www.ucp.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University Centre Quayside Limited,UCQ,https://www.ucq.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regent's University London Limited,Regent's University London,https://www.regents.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"INTO University Partnerships Limited

",Not applicable,https://intoglobal.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
University Academy 92 Limited,UA92,https://www.ua92.ac.uk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
