Name,Type,Compatibility,OAI-PMH,website
"Mundus Gateway",Institutional Repository,not available,,http://www.mundus.ac.uk
"IMechE Virtual Archive",Institutional Repository,not available,,http://archives.imeche.org/
"Open Research Online",Institutional Repository,collected from a compatible aggregator,,http://oro.open.ac.uk/
"Falmouth University Research Repository (FURR)",Institutional Repository,collected from a compatible aggregator,,http://repository.falmouth.ac.uk/
"The Institute of Cancer Research Publications Repository",Institutional Repository,not available,,https://repository.icr.ac.uk
"Ulster Universitys Research Portal",Institutional Repository,not available,,http://pure.ulster.ac.uk/
"Middlesex University Research Repository",Institutional Repository,collected from a compatible aggregator,,http://eprints.mdx.ac.uk/
"ULCC Publications Archive",Institutional Repository,not available,,http://pubs.ulcc.ac.uk
"University of Wales Trinity Saint David",Institutional Repository,not available,,http://repository.uwtsd.ac.uk/
"British Library Research Repository",Institutional Repository,not available,,https://bl.iro.bl.uk
"University of Gloucestershire, Research Repository",Institutional Repository,collected from a compatible aggregator,,https://eprints.glos.ac.uk/
"LJMU Data Repository",Institutional Repository,not available,,https://opendata.ljmu.ac.uk
"Spiral - Imperial College Digital Repository",Institutional Repository,OpenAIRE Basic (DRIVER OA),https://spiral.imperial.ac.uk/dspace-oai/request,https://spiral.imperial.ac.uk/
"Canterbury Research and Theses Environment",Institutional Repository,collected from a compatible aggregator,,http://create.canterbury.ac.uk/
"DSpace at Bromley College",Institutional Repository,not available,,http://vle.bromley.ac.uk/dspace/
"Nottingham ePrints",Institutional Repository,collected from a compatible aggregator,,http://eprints.nottingham.ac.uk/
"UAL Research Online",Institutional Repository,not available,,http://ualresearchonline.arts.ac.uk/
"IDS OpenDocs",Institutional Repository,not available,,https://opendocs.ids.ac.uk/opendocs
"Royal College of Music Research Online",Institutional Repository,not available,,http://researchonline.rcm.ac.uk
"Tate Research Repository",Institutional Repository,not available,,https://tate.iro.bl.uk
"De Montfort University Open Research Archive",Institutional Repository,OpenAIRE 3.0 (OA funding),https://www.dora.dmu.ac.uk/oai/request,https://www.dora.dmu.ac.uk/
"Tavistock and Portman Staff Publications Online",Institutional Repository,not available,,http://repository.tavistockandportman.ac.uk/
"Digital Education Resource Archive",Institutional Repository,not available,,http://dera.ioe.ac.uk/
"Northern Ireland Official Publications Archive",Institutional Repository,not available,,http://niopa.qub.ac.uk
"STAX - Strathclyde Theses and Exam Papers",Institutional Repository,not available,,https://stax.strath.ac.uk
"Computer Laboratory Technical Reports - Cambridge University",Institutional Repository,not available,,https://www.cl.cam.ac.uk/techreports
"University of Bedfordshire Repository",Institutional Repository,not available,,https://uobrep.openrepository.com
"Learning Exchange",Institutional Repository,not available,,http://lx.iriss.org.uk/
